id,name,description,buylink,buyCTA
crocsmic-cruiser,personas.1.name,personas.1.desc,personas.1.buylink,personas.1.buyCTA
gamer-guru,personas.2.name,personas.2.desc,personas.2.buylink,personas.2.buyCTA
eclectic-crocer,personas.3.name,personas.3.desc,personas.3.buylink,personas.3.buyCTA
crocstar,personas.4.name,personas.4.desc,personas.4.buylink,personas.4.buyCTA
crocs-comforter,personas.5.name,personas.5.desc,personas.5.buylink,personas.5.buyCTA
